Density,Probability
0.4,0.779
0.4,0.776
0.5333333333333333,0.725
0.4666666666666667,0.757
0.6,0.715
0.6666666666666666,0.693
0.6,0.719
0.4666666666666667,0.805
0.7333333333333333,0.651
0.5333333333333333,0.745
0.6,0.727
0.4666666666666667,0.722
0.6666666666666666,0.677
0.7333333333333333,0.638
0.3333333333333333,0.815
0.6,0.75
0.6,0.687
0.6,0.699
0.5333333333333333,0.735
0.6,0.712
0.7333333333333333,0.662
0.5333333333333333,0.728
0.4666666666666667,0.737
0.8,0.615
0.7333333333333333,0.686
0.6,0.7
0.5333333333333333,0.745
0.3333333333333333,0.785
0.6666666666666666,0.698
0.6,0.735
0.4666666666666667,0.745
0.4666666666666667,0.751
0.4666666666666667,0.75
0.5333333333333333,0.74
0.5333333333333333,0.75
0.6,0.704
0.3333333333333333,0.805
0.6,0.713
0.6666666666666666,0.707
0.5333333333333333,0.693
0.6666666666666666,0.707
0.5333333333333333,0.707
0.7333333333333333,0.683
0.6,0.691
0.6666666666666666,0.722
0.4666666666666667,0.757
0.7333333333333333,0.677
0.4,0.786
0.6666666666666666,0.681
0.9333333333333333,0.62
0.4666666666666667,0.772
0.5333333333333333,0.738
0.5333333333333333,0.71
0.6,0.734
0.4666666666666667,0.718
0.6,0.704
0.5333333333333333,0.715
0.4666666666666667,0.767
0.6,0.71
0.6,0.703
0.4,0.782
0.8,0.647
0.6666666666666666,0.675
0.6,0.712
0.5333333333333333,0.738
0.4666666666666667,0.763
0.5333333333333333,0.743
0.6666666666666666,0.671
0.3333333333333333,0.808
0.8,0.624
0.5333333333333333,0.731
0.4666666666666667,0.758
0.4666666666666667,0.744
0.3333333333333333,0.817
0.4,0.795
0.4,0.772
0.5333333333333333,0.715
0.4666666666666667,0.75
0.4,0.763
0.4666666666666667,0.759
0.4666666666666667,0.747
0.6,0.688
0.5333333333333333,0.717
0.6666666666666666,0.724
0.5333333333333333,0.717
0.4,0.741
0.5333333333333333,0.725
0.5333333333333333,0.728
0.4,0.766
0.4666666666666667,0.745
0.8666666666666667,0.624
0.6,0.714
0.6666666666666666,0.707
0.6,0.709
0.6666666666666666,0.722
0.6666666666666666,0.699
0.4,0.785
1.0,0.595
0.4,0.789
0.8,0.671
0.7333333333333333,0.687
0.8666666666666667,0.666
0.7333333333333333,0.663
0.4666666666666667,0.739
0.4,0.764
0.6666666666666666,0.704
0.8,0.659
0.5333333333333333,0.723
0.5333333333333333,0.704
0.4,0.796
0.3333333333333333,0.762
0.7333333333333333,0.657
